waterbody_name,fish_species_present_at_waterbody,comments,special_regulations_on_waterbody,county,types_of_public_access,public_fishing_access_owner,waterbody_information,longitude,latitude,location,location_2
Batavia Kill,Brook Trout - Brown Trout* - Rainbow Trout,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbataviak.pdf,-74.30587239,42.29304528,POINT(-74.305872393 42.293045276),POINT(-74.305872393 42.293045276)
Deer River,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement - Deer River State Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrdeerriver.pdf,-74.50157492,44.73002917,POINT(-74.501574916 44.730029173),POINT(-74.501574916 44.730029173)
Ten Mile Creek,Brook Trout - Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31441.html,Dutchess,Shore Fishing - Public Fishing Rights,Public Easement - Wassaic State Multiple Use Area (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrtenmilewassaic.pdf,-73.57519622,41.77490123,POINT(-73.575196222 41.774901231),POINT(-73.575196222 41.774901231)
Delaware River (Upper),Brown Trout - Rainbow Trout - Smallmouth Bass - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23900.html,-75.27685072,41.93511364,POINT(-75.276850723 41.935113637),POINT(-75.276850723 41.935113637)
Delaware River (Lower),Smallmouth Bass - Muskellunge - Walleye - Striped Bass,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23864.html,-74.9125554,41.47643494,POINT(-74.912555402 41.476434942),POINT(-74.912555402 41.476434942)
Neversink River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.60944853,41.78163445,POINT(-74.609448532 41.781634451),POINT(-74.609448532 41.781634451)
Mongaup River,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing,Thompson Park (Municipal),,-74.70954611,41.72131319,POINT(-74.709546114 41.721313192),POINT(-74.709546114 41.721313192)
Hudson River (Upper Hudson),Brown Trout* - Rainbow Trout*,None,,Warren,Shore Fishing - Public Fishing Rights,Public Easement - Vanderwhacker Mountain Wild Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrhudson.pdf,-74.03491978,43.7371632,POINT(-74.034919779 43.737163196),POINT(-74.034919779 43.737163196)
East Branch Delaware River (Upper),Brook Trout - Brown Trout*,NYCDEP permit required (1-800-574-LAND).,http://www.dec.ny.gov/outdoor/31440.html,Delaware,,,,-74.62961859,42.15160567,POINT(-74.629618591 42.151605667),POINT(-74.629618591 42.151605667)
East Branch Delaware River (Lower),Brook Trout - Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement - Tomannex State Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfreastbranch.pdf,-75.08716292,42.01727344,POINT(-75.087162917 42.017273442),POINT(-75.087162917 42.017273442)
Beaver Kill,Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbeaverkill.pdf,-75.02370993,41.96958342,POINT(-75.023709933 41.96958342),POINT(-75.023709933 41.96958342)
Willowemoc Creek,Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwillocklb.pdf,-74.81217934,41.90328988,POINT(-74.81217934 41.903289881),POINT(-74.81217934 41.903289881)
West Branch Delaware River (Upper),Brook Trout - Brown Trout*,NYCDEP permit required (1-800-574-LAND).,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwestbranch.pdf,-74.69321174,42.36696193,POINT(-74.693211738 42.366961925),POINT(-74.693211738 42.366961925)
West Branch Delaware River (Lower),Brown Trout* - Rainbow Trout - Smallmouth Bass - Walleye,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwestbranch.pdf,-75.40731877,42.07437241,POINT(-75.407318767 42.074372406),POINT(-75.407318767 42.074372406)
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31479.html,Albany,Shore Fishing - Boat Launch (Trailer Improved),Corning City Preserve (Municipal),http://www.dec.ny.gov/outdoor/23912.html,-73.74093081,42.65748423,POINT(-73.740930806 42.657484231),POINT(-73.740930806 42.657484231)
Rondout Creek,Smallmouth Bass - Largemouth Bass - Sunfish - Walleye,None,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/58871.html,-74.03013258,41.88486677,POINT(-74.030132584 41.884866772),POINT(-74.030132584 41.884866772)
Wallkill River,Smallmouth Bass - Walleye - Carp,Electric Motors Only.,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/58866.html,-74.08549445,41.8020854,POINT(-74.085494448 41.802085397),POINT(-74.085494448 41.802085397)
Esopus Creek,Brook Trout - Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfresopusck.pdf,-74.28566609,42.04916994,POINT(-74.285666094 42.049169943),POINT(-74.285666094 42.049169943)
Ramapo River,Brook Trout - Brown Trout* - Rainbow Trout*,None,,Orange,Shore Fishing - Public Fishing Rights,Public Easement - Harriman State Park,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrramapo.pdf,-74.18377059,41.19572663,POINT(-74.183770586 41.195726627),POINT(-74.183770586 41.195726627)
East Branch Cazenovia Creek,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31442.html,Erie,Shore Fishing,Emery County Park,,-78.58704971,42.71557107,POINT(-78.587049709 42.715571068),POINT(-78.587049709 42.715571068)
Schoharie Creek (Lower),Smallmouth Bass - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31464.html,Montgomery,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23885.html,-74.25786982,42.80462835,POINT(-74.257869822 42.804628354),POINT(-74.257869822 42.804628354)
Canoga Creek,Brook Trout*,None,,Seneca,Shore Fishing,Canoga Marsh Wildlife Management Area (DEC),,-76.74928933,42.86255347,POINT(-76.749289332 42.862553473),POINT(-76.749289332 42.862553473)
West Kill,Brook Trout - Brown Trout* - Rainbow Trout,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwestkill.pdf,-74.34104746,42.19801311,POINT(-74.341047462 42.198013111),POINT(-74.341047462 42.198013111)
East Kill,Brown Trout* - Rainbow Trout,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschoharie.pdf,-74.31029929,42.24231811,POINT(-74.310299294 42.242318111),POINT(-74.310299294 42.242318111)
Hoosic River,Brown Trout - Rainbow Trout - Smallmouth Bass - Carp,None,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrhoosic.pdf,-73.40277033,42.95001968,POINT(-73.402770331 42.950019683),POINT(-73.402770331 42.950019683)
Roeliff Jansen Kill,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31441.html,Dutchess,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrrojankil.pdf,-73.66143351,41.99745035,POINT(-73.661433506 41.99745035),POINT(-73.661433506 41.99745035)
Catskill Creek,Brown Trout*,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcatskillc.pdf,-74.13286646,42.40275613,POINT(-74.132866461 42.402756126),POINT(-74.132866461 42.402756126)
Kinderhook Creek,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31438.html,Columbia,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkinderhook.pdf,-73.45218208,42.49241296,POINT(-73.452182076 42.492412956),POINT(-73.452182076 42.492412956)
Poesten Kill,Brook Trout - Brown Trout,None,,Rensselear,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrPoestenk.pdf,-73.58275495,42.70582836,POINT(-73.582754945 42.70582836),POINT(-73.582754945 42.70582836)
Schoharie Creek (Upper),Brook Trout - Brown Trout*,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschoharie.pdf,-74.39994922,42.2834234,POINT(-74.399949217 42.283423399),POINT(-74.399949217 42.283423399)
Walloomsac River,Brown Trout*,None,,Rensselear,,,,-73.34420094,42.92666117,POINT(-73.344200937 42.926661166),POINT(-73.344200937 42.926661166)
Little Hoosic River,Brown Trout,None,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrhoosic.pdf,-73.36211594,42.7318217,POINT(-73.36211594 42.731821699),POINT(-73.36211594 42.731821699)
West Branch Croton River,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31478.html,Putnam,,,,-73.73224007,41.44742592,POINT(-73.732240069 41.447425921),POINT(-73.732240069 41.447425921)
Unadilla River,Brown Trout*,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwhartonck.pdf,-75.32751285,42.62590391,POINT(-75.32751285 42.625903909),POINT(-75.32751285 42.625903909)
East Branch Croton River,Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31478.html,Putnam,,,,-73.6149164,41.39353435,POINT(-73.614916399 41.393534351),POINT(-73.614916399 41.393534351)
Schenevus Creek,Brook Trout - Brown Trout*,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschenevus.pdf,-74.90864878,42.51830902,POINT(-74.908648783 42.518309018),POINT(-74.908648783 42.518309018)
Charlotte Creek,Brook Trout - Brown Trout*,None,,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcharlotte.pdf,-74.79700956,42.49579058,POINT(-74.797009563 42.495790582),POINT(-74.797009563 42.495790582)
Butternut Creek,Brook Trout - Brown Trout*,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbuternut.pdf,-75.1538062,42.65082123,POINT(-75.1538062 42.650821229),POINT(-75.1538062 42.650821229)
Wharton Creek,Brook Trout - Brown Trout*,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwhartonck.pdf,-75.30711073,42.6257862,POINT(-75.30711073 42.625786195),POINT(-75.30711073 42.625786195)
Otego Creek,Brook Trout - Brown Trout*,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrotegock.pdf,-75.10805362,42.47066468,POINT(-75.108053618 42.470664677),POINT(-75.108053618 42.470664677)
Chautauqua Creek,Steelhead*,None,http://www.dec.ny.gov/outdoor/31420.html,Chautauqua,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/chautauquacreek.pdf,-79.57837547,42.30582201,POINT(-79.578375466 42.30582201),POINT(-79.578375466 42.30582201)
Niagara River (Lower),Brown Trout* - Steelhead* - Chinook Salmon* - Coho Salmon* - Lake Trout - Smallmouth Bass - Yellow Perch - Muskellunge - Walleye* - Carp,None,http://www.dec.ny.gov/outdoor/31425.html,Niagara,Shore Fishing - Boat Launch (Trailer Improved),Fort Niagara State Park,http://www.dec.ny.gov/outdoor/67913.html,-79.05924937,43.26100669,POINT(-79.059249369 43.26100669),POINT(-79.059249369 43.26100669)
Eighteen Mile Creek,Brown Trout* - Steelhead* - Smallmouth Bass,None,http://www.dec.ny.gov/outdoor/31420.html,Erie,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/eighteenmilesouth.pdf,-78.94069733,42.69924947,POINT(-78.940697332 42.699249465),POINT(-78.940697332 42.699249465)
Cattaraugus Creek (Upper),Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31442.html,Erie,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/cattcreekhosmer.pdf,-78.47823533,42.5347043,POINT(-78.478235329 42.534704298),POINT(-78.478235329 42.534704298)
Cattaraugus Creek (Lower),Brown Trout* - Steelhead* - Smallmouth Bass - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31420.html,Cattaraugus,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/docs/fish_marine_pdf/cattcreeksteelhead.pdf,-78.81256044,42.45606665,POINT(-78.812560443 42.456066652),POINT(-78.812560443 42.456066652)
Lime Lake Outlet,Brown Trout - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/limelakemckin.pdf,-78.48116378,42.45489038,POINT(-78.481163775 42.45489038),POINT(-78.481163775 42.45489038)
Hosmer Brook,Brown Trout - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31442.html,Erie,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/cattcreekhosmer.pdf,-78.50432021,42.54100585,POINT(-78.504320212 42.541005854),POINT(-78.504320212 42.541005854)
Clear Creek (Arcade),Brown Trout - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/clearcreekarcade.pdf,-78.35883796,42.48567184,POINT(-78.358837963 42.485671835),POINT(-78.358837963 42.485671835)
Canadaway Creek,Brown Trout* - Steelhead* - Smallmouth Bass,None,http://www.dec.ny.gov/outdoor/31420.html,Chautauqua,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/canadawaycreek.pdf,-79.36464577,42.47549569,POINT(-79.364645774 42.475495688),POINT(-79.364645774 42.475495688)
Genesee River (Upper),Brown Trout* - Rainbow Trout* - Smallmouth Bass,None,http://www.dec.ny.gov/outdoor/31494.html,Allegany,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/geneseeriver.pdf,-77.98530916,42.17123545,POINT(-77.985309157 42.171235454),POINT(-77.985309157 42.171235454)
Wiscoy Creek,Brook Trout - Brown Trout,None,http://www.dec.ny.gov/outdoor/31505.html,Wyoming,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/wiscoy.pdf,-78.24454459,42.58025623,POINT(-78.244544594 42.580256225),POINT(-78.244544594 42.580256225)
East Koy Creek,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31505.html,Wyoming,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/eastkoycreek.pdf,-78.09592052,42.53558559,POINT(-78.095920517 42.535585592),POINT(-78.095920517 42.535585592)
Eighteen Mile Creek,Brown Trout - Steelhead* - Atlantic Salmon - Chinook Salmon* - Coho Salmon* - Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31420.html,Niagara,Shore Fishing,Fisherman's Park (Municipal),http://www.dec.ny.gov/outdoor/26912.html,-78.71537023,43.31731246,POINT(-78.715370228 43.317312455),POINT(-78.715370228 43.317312455)
Allegheny River,Smallmouth Bass - Muskellunge* - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/26987.html,-78.52956685,42.10167981,POINT(-78.529566849 42.10167981),POINT(-78.529566849 42.10167981)
Tonawanda Creek (Barge Canal),Smallmouth Bass - Largemouth Bass - Sunfish - Northern  Pike - Walleye - Carp,None,,Niagara,Shore Fishing - Boat Launch (Trailer Improved),West Canal County Park,,-78.82188761,43.05196002,POINT(-78.821887614 43.051960018),POINT(-78.821887614 43.051960018)
Niagara River (Upper),Rainbow Trout - Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Muskellunge - Northern Pike - Walleye - Carp,Marina available at state park.,http://www.dec.ny.gov/outdoor/31428.html,Erie,Shore Fishing - Boat Launch (Trailer Improved),Big Six Mile Creek Marina (New York State Park),http://www.dec.ny.gov/outdoor/23898.html,-79.01179447,43.02430661,POINT(-79.01179447 43.024306611),POINT(-79.01179447 43.024306611)
Conewango Creek,Smallmouth Bass - Largemouth Bass - Muskellunge - Northern Pike. Walleye - Carp,None,,Chautauqua,Shore Fishing,Conewango Swamp Wildlife Management Area (DEC),http://www.dec.ny.gov/outdoor/26987.html,-79.03712769,42.18686376,POINT(-79.037127689 42.186863764),POINT(-79.037127689 42.186863764)
Quaker Run,Brook Trout - Brown Trout*,Camping available at state park.,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing,Allegany State Park,,-78.8115383,42.01141195,POINT(-78.811538299 42.011411954),POINT(-78.811538299 42.011411954)
Ischua Creek,Brook Trout* - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/ischuacreek.pdf,-78.46307783,42.33544159,POINT(-78.46307783 42.335441593),POINT(-78.46307783 42.335441593)
Red House Brook,Brook Trout* - Brown Trout*,Camping available at state park.,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing,Allegany State Park,,-78.72345408,42.03356273,POINT(-78.723454083 42.033562728),POINT(-78.723454083 42.033562728)
Cassadaga Creek,Smallmouth Bass - Muskellunge - Northern Pike,None,,Chautauqua,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/cassadagack.pdf,-79.29897139,42.3121849,POINT(-79.298971392 42.312184901),POINT(-79.298971392 42.312184901)
Goose Creek,Brook Trout* - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31420.html,Chautauqua,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/goosecreek.pdf,-79.47489045,42.09490789,POINT(-79.474890452 42.094907888),POINT(-79.474890452 42.094907888)
Clear Creek (Ellington),Brown Trout,None,http://www.dec.ny.gov/outdoor/31420.html,Chautauqua,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/clearcreekelling.pdf,-79.14218849,42.24897669,POINT(-79.142188487 42.248976693),POINT(-79.142188487 42.248976693)
Oswegatchie River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye - Carp - Channel Catfish,Camping available at state park.,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Improved),Eel Weir State park,http://www.dec.ny.gov/outdoor/23866.html,-75.47442396,44.63014103,POINT(-75.474423958 44.630141028),POINT(-75.474423958 44.630141028)
Genesee River (Lower),Brown Trout - Steelhead* - Coho Salmon* - Chinook Salmon* - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31420.html,Monroe,Boat Launch (Trailer Improved),Ontario Beach County Park,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrgeneseriv.pdf,-77.60847748,43.25401456,POINT(-77.608477482 43.254014557),POINT(-77.608477482 43.254014557)
East Branch Owego Creek,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31498.html,Tioga,Shore Fishing - Public Fishing Rights,Public Easement - Michigan Hill State Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/r7ebrowegpfr.pdf,-76.19231146,42.39489623,POINT(-76.192311456 42.394896233),POINT(-76.192311456 42.394896233)
Susquehanna River,Smallmouth Bass - Sunfish - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,None,,Otsego,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.0997958,42.44188162,POINT(-75.099795797 42.441881624),POINT(-75.099795797 42.441881624)
Mohawk River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky* - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Boat Launch (Hand Launch),DEC,,-75.32566292,43.16536357,POINT(-75.325662919 43.16536357),POINT(-75.325662919 43.16536357)
Massapequa Creek,Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31466.html,Nassau,Shore Fishing,Massapequa County Preserve (County Park),,-73.45983411,40.68298021,POINT(-73.459834106 40.682980209),POINT(-73.459834106 40.682980209)
East Branch Ausable River,Brook Trout* - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31443.html,Essex,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrebausable.pdf,-73.70922836,44.38879337,POINT(-73.709228364 44.388793371),POINT(-73.709228364 44.388793371)
Cold Brook,Brook Trout,None,,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,,-74.76228706,43.14535718,POINT(-74.762287056 43.145357176),POINT(-74.762287056 43.145357176)
Trammel Creek,Brook Trout,None,,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrecanadack.pdf,-74.70919155,43.1877812,POINT(-74.709191549 43.187781202),POINT(-74.709191549 43.187781202)
Woodhull Creek,Brook Trout,None,,Oneida,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwoodhullck.pdf,-75.17255796,43.4633306,POINT(-75.172557964 43.463330598),POINT(-75.172557964 43.463330598)
Raystone Creek,Brook Trout,None,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,Shore Fishing,Winona State Forest (DEC),,-75.946454,43.73518154,POINT(-75.946453998 43.735181544),POINT(-75.946453998 43.735181544)
Crystal Creek,Brook Trout - Brown Trout - Rainbow Trout,None,,Lewis,Shore Fishing - Public Fishing Rights,Public Easement,,-75.3998312,43.83628139,POINT(-75.399831197 43.83628139),POINT(-75.399831197 43.83628139)
Fish Creek,Brook Trout - Brown Trout,None,,Lewis,Shore Fishing,Independence River Wild Forest (DEC),http://www.dec.ny.gov/lands/22574.html,-75.23988562,43.68165648,POINT(-75.23988562 43.681656479),POINT(-75.23988562 43.681656479)
South Branch Grass River,Brook Trout - Brown Trout,None,,St. Lawrence,Shore Fishing,Grasse River Wild Forest (DEC),http://www.dec.ny.gov/lands/22575.html,-74.97584267,44.28623731,POINT(-74.975842665 44.28623731),POINT(-74.975842665 44.28623731)
Little River,Brook Trout - Brown Trout,None,,St. Lawrence,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrlittler.pdf,-75.06430253,44.19409374,POINT(-75.064302528 44.194093742),POINT(-75.064302528 44.194093742)
Marble River,Brook Trout* - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrchateaugay.pdf,-74.07016639,44.93876592,POINT(-74.070166392 44.938765922),POINT(-74.070166392 44.938765922)
Elm Creek,Brown Trout,None,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/littleconewangock.pdf,-78.9643141,42.16102651,POINT(-78.964314103 42.161026511),POINT(-78.964314103 42.161026511)
Skinner Creek,Steelhead - Chinook Salmon,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrskinnerck.pdf,-76.10224057,43.69600757,POINT(-76.102240571 43.696007568),POINT(-76.102240571 43.696007568)
Lindsey Creek,Steelhead - Chinook Salmon,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrskinnerck.pdf,-76.12901524,43.67801607,POINT(-76.129015241 43.678016073),POINT(-76.129015241 43.678016073)
Cayuta Creek,Brown Trout* - Sunfish,None,http://www.dec.ny.gov/outdoor/31491.html,Schuyler,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcayutack.pdf,-76.68258761,42.26860739,POINT(-76.682587611 42.268607394),POINT(-76.682587611 42.268607394)
Oatka Creek,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31462.html,Monroe,Shore Fishing - Public Fishing Rights - Boat Launch (Hand Launch),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfroatkacreek.pdf,-77.86198326,42.99583145,POINT(-77.861983259 42.995831451),POINT(-77.861983259 42.995831451)
Butternut Creek,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31471.html,Onondaga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7buttnutpfr.pdf,-76.07180235,42.90744839,POINT(-76.071802347 42.907448391),POINT(-76.071802347 42.907448391)
Seneca River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky* - Northern Pike - Walleye - Carp - Channel Catfish,None,,Cayuga,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/66680.html,-76.51428809,43.07596973,POINT(-76.514288087 43.075969728),POINT(-76.514288087 43.075969728)
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.81719816,42.08290185,POINT(-76.817198164 42.082901848),POINT(-76.817198164 42.082901848)
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.77998577,42.0810175,POINT(-76.779985774 42.081017495),POINT(-76.779985774 42.081017495)
